Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
5328.00,CA-2011-130813,06/01/2013,08/01/2013,Second Class,LS-17230,Lycoris Saunders,Consumer,United States,Los Angeles,California,90049.00,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,19.44,3,0,9.3312
4938.00,CA-2011-157147,13/01/2013,18/01/2013,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109.00,West,OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1325.85,5,0,238.653
4939.00,CA-2011-157147,13/01/2013,18/01/2013,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109.00,West,FUR-BO-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",333.999,3,0.15,3.9294
4940.00,CA-2011-157147,13/01/2013,18/01/2013,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109.00,West,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,19.9,5,0,6.567
5365.00,CA-2011-123477,18/01/2013,21/01/2013,Second Class,DW-13195,David Wiener,Corporate,United States,Springfield,Oregon,97477.00,West,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.864,4,0.2,6.4864
5463.00,CA-2011-146591,19/01/2013,20/01/2013,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254.00,West,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32.34,10,0.7,-23.716
5464.00,CA-2011-146591,19/01/2013,20/01/2013,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254.00,West,OFF-PA-10000659,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56.064,4,0.2,19.6224
5465.00,CA-2011-146591,19/01/2013,20/01/2013,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254.00,West,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",108.72,5,0.2,36.693
5466.00,CA-2011-146591,19/01/2013,20/01/2013,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254.00,West,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181.47,5,0.7,-320.597
5737.00,CA-2011-148614,20/01/2013,25/01/2013,Standard Class,MV-17485,Mark Van Huff,Consumer,United States,Los Angeles,California,90049.00,West,OFF-PA-10002893,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",19.36,2,0,9.2928
